"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Nle1","scaffold/adaptor","WD40-repeat scaffold; regulates Notch signaling activity; required for pre-ribosomal RNA processing (PeBoW complex component via Ytm1 ortholog); controls CDKN1A and Wnt pathway gene expression","pre-rRNA (32S processing); Notch pathway components; CDKN1A/p21","nucleus; nucleolus; pre-ribosomal particles","widespread; embryo (ICM); intestinal epithelium","inner cell mass cells; epiblast cells; intestinal epithelial cells; colorectal cancer stem cells","Notch signaling; ribosome biogenesis (PeBoW complex); Wnt signaling; CDKN1A regulation","embryonic lethal (inner cell mass failure); epiblast-specific KO causes rapid cell elimination","lethal (ICM and epiblast)","embryonic lethal; brain-specific role not directly studied but Notch-dependent neural development implications","NA","hepatocellular carcinoma; colorectal cancer; melanoma; glioblastoma","NLE1 overexpression supports tumor cell survival; promotes ribosome biogenesis in colorectal cancer stem cells upon SMAD4 loss; required for BTSC self-renewal in GBM","NA","required for embryonic survival; promotes ribosome biogenesis needed for cell growth; Notch-dependent cell fate","WD40/PeBoW ribosome biogenesis factor and Notch regulator required for embryonic inner cell mass survival; overexpressed in colorectal cancer stem cells and HCC to support proliferative ribosome demand"
"Nlrc5","other","NOD-like receptor family CARD domain containing 5; transcriptional regulator of MHC class I genes (CITA/NLRC5 transactivasome); probable negative regulator of NF-kB and type I/II interferon signaling; innate immune homeostasis regulator","MHC class I promoters (transactivation); NF-kB pathway components","nucleus; cytoplasm","immune cells; intestinal epithelium; widespread","macrophages; T cells; NK cells; intestinal epithelial cells; stem cells","MHC-I antigen presentation; NF-kB signaling; innate immune homeostasis; antiviral defense; intestinal NEC protection","intestinal NEC susceptibility (inducible intestinal KO); quiescent stem cells downregulate NLRC5 for immune evasion","moderate (intestinal)","NA","NA","multiple cancers (melanoma; AML; endometrial; small cell lung cancer; brain metastasis)","tumor suppressor via MHC-I upregulation and immune surveillance; loss promotes immune evasion; KDM6A binds and activates NLRC5 in multiple myeloma; LATS1/2 loss downregulates NLRC5/MHC-I","NA","quiescent intestinal stem cells downregulate NLRC5 for immune evasion; cycling stem cells express it and are killed by T cells","NLR family regulator that drives MHC class I antigen presentation; loss enables tumor immune evasion across multiple cancers; KDM6A/H3K27me2 axis controls its expression in multiple myeloma"
"Nme4","enzyme","mitochondrial nucleoside diphosphate kinase (NDPK-D/NM23-H4); transfers gamma-phosphate from ATP to NDPs; produces GTP for mitochondrial GTPases (OPA1); facilitates cardiolipin transfer from inner mitochondrial membrane to outer membrane; supports mtDNA maintenance","nucleoside diphosphates (GDP, UDP, CDP, ADP); cardiolipin (lipid transfer); OPA1 (GTP supply)","mitochondria; inner mitochondrial membrane; intermembrane space","widespread; placenta; testes","mitochondria-rich cells; trophoblasts; tumor cells","mitochondrial nucleotide homeostasis; cardiolipin trafficking; mitochondrial dynamics (OPA1/fusion); mitophagy; respiratory chain support","NA (mice - NME4 role in preeclampsia via placental defects described)","NA","NA","NA","lung adenocarcinoma; renal cell carcinoma; esophageal squamous cell carcinoma; MDS/AML; ovarian cancer","context-dependent; inhibits invasion in ESCC; reduced expression correlates with MDS progression; upregulated in ccRCC with poor prognosis","NA","cardiolipin homeostasis required for mitochondrial integrity during differentiation","Mitochondrial NDPK (NME4/nm23-H4) that maintains nucleotide homeostasis and cardiolipin distribution at the inner membrane; supports OPA1-mediated fusion and respiratory ATP production; context-dependent cancer roles"
"Nop16","other","nucleolar protein; H3K27 mimic (endogenous EED decoy); component of nucleolar protein complex; c-Myc and estrogen transcriptional target; promotes ribosome biogenesis","EED (PRC2 component, via H3K27 mimicry); rRNA processing complex components","nucleolus; nucleus","widespread; prostate; liver; breast","tumor cells; prostate cancer cells; hepatocytes; neural cells","ribosome biogenesis; Polycomb/PRC2 regulation (H3K27 mimic/decoy); c-Myc transcriptional program; mTOR","NA","NA","NA","identified in pediatric high-grade glioma network analysis","hepatocellular carcinoma; prostate cancer; breast cancer; nasopharyngeal carcinoma; glioma","oncogenic; promotes tumor cell proliferation; regulated by c-Myc; high expression correlates with poor prognosis; acts as PRC2 decoy to derepress proliferation genes","NA","regulated by c-Myc which drives proliferative gene programs","Nucleolar protein (HSPC111/NOP16) that acts as an endogenous H3K27 mimic to sequester EED/PRC2, derepressing proliferation genes; a direct c-Myc transcriptional target overexpressed in multiple cancers"
"Notch2","receptor","type I transmembrane receptor; ligand (JAG1/JAG2/DLL1)-activated; releases NICD that forms transcriptional activator complex with RBPJ; regulates cell-fate determination, proliferation, apoptosis, and differentiation","JAG1; JAG2; DLL1; RBPJ (transcriptional complex); NFATc1 (osteoclastogenesis); NF-kB/RELA","plasma membrane; nucleus (NICD)","brain; liver; lung; smooth muscle; bone marrow; lymph nodes; kidney","B cells; marginal zone B cells; smooth muscle cells; hepatocytes; myofibers; renal progenitors","Notch signaling; Wnt (cross-talk); NF-kB; osteoclastogenesis; follicular development; lymphocyte differentiation","embryonic and perinatal lethality (full KO); MZB cell loss; glomerulosclerosis; impaired muscle atrophy response","severe (lethal)","NA","NA","marginal zone lymphoma; mantle cell lymphoma; DLBCL; hepatocellular carcinoma; renal cancer","oncogenic in B-cell lymphomas (MZL, MCL) via NOTCH2 mutations; promotes liver cancer stem cell self-renewal; activates Myc-dependent gene programs in MZB cells","NA","promotes quiescence/differentiation in some contexts (smooth muscle, myofibers); specifies B-cell and renal cell fate","Notch family receptor activated by JAG/DLL ligands that specifies marginal zone B cell, renal, and vascular cell fates; mutated in B-cell lymphomas; promotes cancer stem cell self-renewal in HCC"
"Nr2c2ap","transcription factor","nuclear receptor corepressor; suppresses NR2C2/TR4-mediated transactivation by blocking TR4 binding to its response element","NR2C2/TR4 (suppression of DNA binding)","nucleus","widespread","NA","nuclear receptor signaling (TR4/NR2C2 pathway)","NA","none","NA","NA","NA","no established cancer role","NA","NA","Nuclear receptor corepressor that suppresses TR4/NR2C2 transcriptional activity by blocking its DNA binding; poorly characterized; no direct cancer or neural phenotype established"
"Nr4a1","transcription factor","orphan nuclear receptor; binds NGFI-B response element (NBRE); regulates inflammatory response in macrophages by repressing TCA cycle genes; inhibits NF-kB; activates apoptosis; sequesters STK11 to inhibit AMPK; cytosolic NBRE-containing mtDNA sensor","STK11/LKB1 (nuclear sequestration); NF-kB (IL2 promoter binding); TCA cycle genes; NR4A2 (dimerization on PDGF-RE); mitochondrial DNA (cytosolic sensor)","nucleus; cytoplasm; mitochondria-associated","widespread; liver; immune cells; vascular smooth muscle; brain","macrophages; T cells; Tregs; hepatocytes; osteoblasts; mesenchymal stem cells; neurons","NF-kB repression; AMPK/energy sensing; apoptosis; macrophage metabolic reprogramming; liver regeneration; vascular injury response; bone regeneration","vascular hyperproliferative response; impaired bone regeneration (when suppressed by TGF-b); impaired macrophage metabolic regulation","mild-moderate","NA","expressed in cerebral cortex; macrophage activation involves CNS macrophages (microglia)","multiple cancers (breast; colon; prostate; leukemia); tumor microenvironment","complex: pro-apoptotic tumor suppressor in some cancers; immunosuppressive in TME by maintaining Treg identity and T cell exhaustion; PROTAC degradation enhances anti-tumor immunity","NA","anti-differentiation role in some progenitors; regulates macrophage differentiation; promotes T cell exhaustion","Orphan nuclear receptor NR4A1 (Nur77) that represses NF-kB and TCA cycle genes in macrophages and activates apoptosis; maintains Treg/T cell exhaustion in tumor microenvironment; targeted by PROTAC degraders for cancer immunotherapy"
"Nrp1","receptor","neuropilin-1; co-receptor for semaphorins (SEMA3A-chemorepulsion), VEGF165/PLGF-2 (angiogenesis), and TGF-b; recognizes CendR motif (R/KXXR/K) for internalization; regulates axon guidance and vascular development","SEMA3A; VEGF165; PLGF-2; VEGFB; TGF-b; KDR (co-receptor for VEGF); ABCB8/MITOSURFS (mitochondrial iron transport)","plasma membrane; endosomes","brain; vascular endothelium; immune tissue; lung; kidney; liver","endothelial cells; Tregs; neurons; motor neurons; smooth muscle cells; ILC3s","semaphorin/axon guidance; VEGF/angiogenesis; TGF-b/fibrosis; Treg stability in tumors; IL-17 ILC3 activation","motor neuron axon guidance defects; facial motor neuron migration failure; cardiovascular defects (when combined with KDR loss)","moderate-severe","motor neuron axon guidance failure; facial motor neuron migration defect; cerebellar circuitry formation involves semaphorin/NRP1 signaling","expressed in cerebellar neurons; semaphorin/NRP1 critical for cerebellar circuitry","hepatocellular carcinoma; pancreatic cancer; NSCLC; renal fibrosis","NRP1 upregulated in multiple cancers; promotes tumor progression via VEGF/angiogenesis; Treg NRP1 required for intratumoral suppression; NRP1 loss on Tregs causes profound tumor resistance","NA","neuronal axon guidance and circuit formation during development","Neuropilin-1 co-receptor for SEMA3A and VEGF165 that guides motor axons and promotes angiogenesis; on Tregs, NRP1 maintains intratumoral immunosuppression; loss of Treg-NRP1 dramatically increases tumor immunity"
"Nudt4","enzyme","nudix hydrolase; cleaves beta-phosphate from diphosphoinositol polyphosphates (PP-InsP5/PP-InsP4); also cleaves diadenosine polyphosphates (Ap6A/Ap5A); produces ribose-1,5-bisphosphate (glycolytic activator); binds U8 snoRNA","PP-InsP5 (diphosphoinositol pentakisphosphate); PP-InsP4; Ap6A; Ap5A; 5-phosphoribose 1-diphosphate","cytoplasm; nucleus","widespread","various cell types","inositol polyphosphate signaling; diadenosine polyphosphate signaling; KATP channel regulation; glycolytic activation via ribose-1,5-bisphosphate","NA","none","NA","NA","lung cancer (NSCLC); cervical cancer; gastric cancer; renal cancer","detected in cancer prognosis gene signatures (e.g. m7G, cuproptosis, mitochondrial depolarization panels); no established direct cancer driver role","NA","NA","Nudix hydrolase that degrades diphosphoinositol polyphosphates and diadenosine polyphosphates to regulate inositol signaling and KATP channels; appears in cancer prognosis signatures but has no established direct oncogenic function"
"Ogfr","receptor","inhibits cell proliferation via tonic negative growth signaling; delays G1/S cell cycle transition","Met-enkephalin (OGF/[Met5]-enkephalin)","nuclear membrane / intracellular","ubiquitous; corneal epithelium, neural tissue, immune cells","epithelial cells, astrocytes, endothelial cells, cancer cells","OGF-OGFr axis; CDKi (p16, p21) upregulation; G1/S checkpoint","viable; wound healing defects; altered cell proliferation","mild","astrocyte proliferation dysregulation","no direct cerebellar evidence","pancreatic, gynecological, hepatocellular carcinoma, colon","tumor suppressor; OGFr overexpression represses cancer cell growth; OGF therapy suppresses tumor growth","none reported","negative regulator of proliferation; promotes quiescence via CDKi upregulation","Nuclear receptor for opioid growth factor (Met-enkephalin) that tonically inhibits cell proliferation by upregulating p16/p21 and delaying G1/S."
"Opn3","GPCR","activates Gi/o signaling; inhibits cAMP; modulates calcium flux; constitutive light-independent signaling in some contexts","11-cis retinal, all-trans retinal (cofactors)","plasma membrane","skin (melanocytes), brain (hypothalamus, PVN), lung, extraocular tissues","melanocytes, neurons, endothelial cells, bronchial epithelial cells","Gi/o-cAMP signaling; CAMK2-CREB; ERK/p38/MITF; BCL2/RAF1 survival; angiogenesis","not well characterized in vivo","unknown","expressed in brain embryogenesis; regulates neuronal firing in PVN","expressed in adult brain and during embryogenesis; detected in various brain structures","lung adenocarcinoma, thyroid carcinoma, breast cancer, melanoma","oncogenic role in lung/breast cancer; promotes proliferation, invasion, therapy resistance; tumor suppressor context in some melanoma","none reported","promotes melanocyte survival; role in stem cell differentiation via light signaling","Extraocular GPCR opsin that signals through Gi/o to regulate cAMP, melanogenesis, angiogenesis, and cancer cell proliferation in a light-dependent and constitutive manner."
"Orc1","other","initiates DNA replication by loading MCM helicase at replication origins; ATP-dependent DNA binding","replication origins (DNA); CDC6, CDT1 binding partners","nucleus","ubiquitous","all dividing cells","DNA replication initiation; ORC complex assembly; MCM loading; pre-RC formation; cell cycle S-phase","Meier-Gorlin syndrome (dwarfism, microtia, patellar aplasia); dispensable in some contexts (liver); ORC2 KO lethal","moderate (conditional); Meier-Gorlin in humans","no specific neural phenotype reported","no cerebellar-specific evidence","broad cancer relevance (hepatocellular, others)","essential for cancer cell proliferation; ORC1 loss can be compensated by CDC6 in some contexts","Meier-Gorlin syndrome (primordial dwarfism)","required for S-phase entry and DNA replication; critical in proliferating progenitors","Essential subunit of the origin recognition complex (ORC) that nucleates pre-replication complex assembly and licenses replication origins for DNA synthesis."
"Ormdl3","other","regulates sphingolipid de novo biosynthesis; inhibits serine palmitoyltransferase (SPT) when ceramides are high; modulates ER stress/UPR","serine palmitoyltransferase (SPT); ceramide (allosteric sensor)","endoplasmic reticulum membrane","lung, immune cells, pancreatic beta cells, ubiquitous","airway epithelial cells, smooth muscle cells, mast cells, beta cells","SPT-ceramide axis; UPR/ATF6; ER homeostasis; sphingolipid metabolism; NF-kB","beta-cell KO: normal glucose tolerance on chow; metabolic phenotype under high-fat diet; asthma susceptibility modifier","mild (conditional)","linked to ALS (rare); no primary neural phenotype","no cerebellar evidence","breast cancer, DLBCL, colorectal, lung","altered expression in multiple tumors; modulates apoptosis/proliferation via sphingolipid levels","asthma (GWAS locus 17q21); ALS (rare mutation)","modulates beta cell proliferation under ER stress; regulates cell survival via ceramide homeostasis","ER transmembrane protein that maintains ceramide/sphingolipid homeostasis by inhibiting SPT activity; GWAS risk gene for asthma."
"Ostf1","transcription factor","transcriptional coregulation; osmoregulatory signaling; osteoclast activation via paracrine signaling","unknown direct substrates; interacts with SMN1; TSC22 domain protein","nucleus / cytoplasm","bone, hematopoietic niche, broad embryonic expression","osteoclasts, hematopoietic stem cells, mesenchymal stromal cells","osteoclastogenesis; hematopoietic niche maintenance; osmotic stress response; TGF-beta-stimulated clone 22 (TSC22) pathway","KO mouse: LacZ replacement of exons 3-4; embryonic lethality or developmental defects reported; expressed widely in development","moderate","microdeletion syndrome with epilepsy and intellectual disability","no cerebellar-specific evidence","colorectal cancer (CD133+ stem cells), thyroid cancer","expressed in cancer stem cell populations; NK cell-related gene signature in thyroid cancer","microdeletion syndrome (intellectual disability, epilepsy); linked to spinal muscular atrophy via SMN1 interaction","required for hematopoietic niche transcription factor program; expressed in early progenitors","SH3-domain transcription factor initially identified as an osteoclast activator; also maintains hematopoietic stem cell niche and has roles in neural developmental syndromes."
"Ostm1","other","beta subunit of CLC-7 chloride channel in lysosomes; essential for lysosomal acidification and osteoclast/melanocyte function; transmembrane glycoprotein","ClC-7 (CLCN7) chloride/proton exchanger","lysosomal membrane","bone, melanocytes, thymus, brain","osteoclasts, T cells, neurons, melanocytes","ClC-7/Ostm1 lysosomal acidification; osteoclastogenesis; T cell development; bone resorption","severe osteopetrosis; bone marrow occlusion; neurodegeneration; hypocellular thymus; early death","severe","neurodegeneration (gl/gl mouse); severe autosomal recessive osteopetrosis with neurological features","expressed in brain; gl/gl mice show neuronal degeneration","gastric cancer, hepatocellular carcinoma (antisense lncRNA OSTM1-AS1 in Wilms, RCC)","OSTM1-AS1 lncRNA acts oncogenic in various cancers; OSTM1 protein inhibits HBV replication in liver","autosomal recessive osteopetrosis with neurodegeneration","required for osteoclast and melanocyte maturation; T cell ontogeny","Lysosomal transmembrane glycoprotein that partners with ClC-7 for lysosomal acidification; mutations cause severe osteopetrosis and neurodegeneration."
"P4htm","enzyme","prolyl 4-hydroxylase that hydroxylates HIF1A proline residues; targets HIF1A for VHL-mediated proteasomal degradation under normoxia","HIF1A (Pro-402, Pro-564)","endoplasmic reticulum membrane","brain (highly expressed), retina, ubiquitous","neurons, RPE cells, vascular cells","HIF hypoxia response; VHL-proteasome degradation; oxygen sensing; lipid and glucose metabolism","reduced atherogenesis; altered lipid/glucose metabolism; retinal degeneration (AMD model)","moderate","severe neurological HIDEA syndrome in humans (hypotonia, intellectual disability, dysautonomia, hypoventilation, eye abnormalities); P4h-tm KO mice show CNS expression changes","highly expressed in brain; KO mice show altered cortical gene expression; associated with AMD (retina)","rhabdomyosarcoma (hypermethylated); pan-cancer prognostic oxygen-sensing gene","poor prognosis marker in oxygen-sensing gene panel; promoter methylated in rhabdomyosarcoma","HIDEA syndrome (biallelic LOF: hypotonia, hypoventilation, intellectual disability, dysautonomia, epilepsy, eye abnormalities)","neural expression during development; HIF-dependent oxygen sensing in differentiating cells","ER-resident transmembrane prolyl 4-hydroxylase that regulates HIF stability as an oxygen sensor; loss-of-function causes severe HIDEA neurological syndrome."
"Padi3","enzyme","citrullination (deimination) of arginine residues in substrate proteins including histones and metabolic enzymes","Histone H3 (citrullination); pyruvate kinase M2 (PKM2) Arg-106; hair/skin structural proteins (trichohyalin, keratin-associated proteins)","cytoplasm / nucleus","skin (hair follicles), epidermis, colon","keratinocytes, hair follicle cells, colon epithelial cells","protein citrullination; PKM2 allosteric regulation; glycolysis; cell cycle (p21/CDK inhibitor axis); hair shaft formation","hair follicle/structural defects; altered glycolysis","mild","no primary neural phenotype","no cerebellar evidence","colon cancer, prostate cancer, lung cancer","tumor suppressor in colon cancer (induces cell cycle arrest, inhibits CKS1); anti-metastatic; citrullination of PKM2 modulates glycolysis in cancer","none reported","epidermal differentiation; hair follicle keratinocyte differentiation; citrullination of structural proteins during cornification","Peptidyl arginine deiminase that citrullinates structural proteins during skin/hair differentiation and acts as a tumor suppressor in colon cancer by inducing cell cycle arrest."
"Paip1","scaffold/adaptor","stimulates translation initiation by bridging PABPC1 and eIF4A; competes with PAIP2 for PABPC1 binding; enhances mRNA circularization","PABPC1 (poly(A)-binding protein); eIF4A","cytoplasm (ribosomes / polysomes)","ubiquitous","all dividing cells; cancer cells","Translation initiation (cap-dependent); mRNA circularization; mRNA stability/deadenylation","Drosophila KO: reduced protein translation, pupal lethality, apoptosis in wing disc; mouse not well characterized","moderate (Drosophila); mouse not reported","not specifically studied in neural context; protein expressed broadly","no cerebellar-specific evidence","breast, pancreatic, lung adenocarcinoma, cervical, hepatocellular carcinoma","oncogenic; overexpressed in multiple cancers; promotes proliferation, invasion, migration; poor prognosis marker","none reported","promotes translation of growth/proliferation factors; required for cell growth","Translation coactivator that bridges poly(A)-binding protein and eIF4A to stimulate cap-dependent translation initiation; overexpressed and oncogenic in multiple cancers."
"Palmd","structural protein","regulates actin cytoskeleton and cell membrane dynamics; paralemmin family member; drives basal progenitor process growth and proliferation in cortical development","actin cytoskeleton (indirect); membrane lipid rafts","plasma membrane (via palmitoylation/CAAX motif isoform)","brain (endothelial cells, basal progenitors), cardiovascular (aortic valve, aorta)","endothelial cells, cortical basal progenitors, cardiomyocytes","actin cytoskeleton; membrane dynamics; neocortical progenitor proliferation; endothelial cell function","SNPs reduce expression → calcific aortic valve stenosis; not directly studied by KO","unknown","PALMD-CAAX (membrane-bound isoform) drives basal progenitor process growth and proliferative capacity in neocortex; implicated in brain evolution","expressed in brain endothelial cells; required for basal progenitor proliferation in neocortical expansion","breast, ovarian, uveal melanoma","low PALMD expression promotes cancer stemness in ovarian cancer; downregulated in uveal melanoma metastasis; complex roles in breast cancer","SNPs associated with major depressive disorder","promotes cortical basal progenitor proliferation; drives neocortical expansion","Paralemmin-family membrane protein that drives basal progenitor process growth and proliferative capacity in developing neocortex; SNPs cause calcific aortic valve stenosis."
"Paxip1","scaffold/adaptor","DNA damage response scaffold; recruits TP53BP1/53BP1 to DSB foci; component of MLL2/MLL3 histone methyltransferase complex; promotes H3K4me1/me3 at enhancers; ubiquitinates PCNA after UV","TP53BP1 (53BP1); RNF8; UBE2N; PCNA; PAGR1; MLL2/MLL3 complex","nucleus (DNA damage foci; chromatin)","ubiquitous","all cell types","DDR (DSB repair by HR and NHEJ); MLL2/MLL3 H3K4 methyltransferase complex; cohesin regulation; glucocorticoid receptor transcription","embryonic lethal (full KO); conditional KO: cell death after ionizing radiation; impaired DSB repair","severe (full KO lethal)","no primary neural phenotype described","no cerebellar-specific evidence","lung cancer (STAG2/cohesin context), gastric, ovarian cancer","synthetic lethal with cohesin subunit loss (STAG2); PAXIP1-AS1 lncRNA oncogenic in gastric/ovarian cancer; BRCT domain drug target","none reported","regulates chromatin state at developmental enhancers via MLL complexes","Scaffold protein linking DNA double-strand break repair (53BP1 recruitment) to transcriptional regulation via MLL2/MLL3 histone methyltransferase complexes."
"Pbxip1","scaffold/adaptor","corepressor of PBX transcription factors; blocks PBX-HOX-DNA binding; tethers ESR1 to microtubules; regulates APC/C during mitosis; promotes EMT and migration","PBX1; E2A-PBX1; ESR1; APC/C; microtubules","cytoplasm / nucleus / microtubules","broad; hematopoietic, breast, trophoblast, brain","hematopoietic cells, epithelial cells, endothelial cells, glioma cells, trophoblasts","PBX-HOX transcription repression; estrogen receptor signaling; APC/C-cell cycle; EMT; PI3K/AKT/mTOR","not reported in mice; human cancer data only","unknown","expressed in brain; overexpressed in glioma","expressed in glioma; overexpressed in brain tumors relative to normal brain","breast, head-and-neck, hepatocellular, pancreatic, glioma, colorectal","oncogenic; promotes proliferation, EMT, invasion, metastasis; poor prognosis biomarker; HPIP inhibition reduces tumor growth","none reported","required for prolactin-induced lactogenic differentiation; trophoblast invasion; hematopoiesis","Scaffold/corepressor that inhibits PBX-HOX transcription factor complexes, tethers estrogen receptor to microtubules, and acts as an oncogene promoting proliferation and EMT in multiple cancers."
"Pcgf5","ubiquitin ligase","PRC1 subunit; stimulates RING1B-mediated H2AK119 monoubiquitination; required for neural differentiation from ESCs; X chromosome inactivation","Histone H2A Lys-119 (H2AK119ub1 via RING1/RNF2)","nucleus / chromatin (PRC1 complex)","ubiquitous; brain (embryonic)","embryonic stem cells, neural progenitors, neurons","PRC1 complex; Polycomb repression; H2AK119 monoubiquitination; X-inactivation; Hox gene silencing; neural differentiation","not well characterized in vivo; ESC differentiation defects in vitro","unknown (KO not reported in vivo)","required for neural differentiation from mESCs; PCGF5 loss impairs neural fate commitment","expressed in developing brain; required for neural differentiation","mesothelioma (BAP1/NF2 region); Parkinson disease (chromatin regulator studies)","poorly characterized in cancer; Ehrlichia effector TRP targets PCGF5 to modulate host chromatin","Parkinson disease (chromatin context)","required for mESC differentiation toward neural lineage; regulates neural fate genes via H2AK119ub1","Non-canonical PRC1 subunit that activates RING1B/RNF2 E3 ligase to deposit H2AK119ub1 and is specifically required for embryonic stem cell differentiation toward neural cell fate."
"Pcif1","enzyme","cap-specific m6Am RNA methyltransferase; methylates N6-position of first transcribed adenosine after m7G cap co-transcriptionally; inhibits PDX1 transcriptional activity (SPOP function)","mRNA cap adenosine (m6Am modification); PDX1 (transcription factor)","nucleus (co-transcriptional); cytoplasm","ubiquitous","all cells","m6Am mRNA modification; translation regulation; RNA cap stability; PDX1-insulin axis; cancer progression","viable (mouse KO not well characterized)","mild","expressed in neural tissue; glioma role characterized","expressed in glioma; m6Am modification affects glioma cell survival","colorectal cancer, esophageal SCC, gastric cancer, glioma","oncogenic; PCIF1 overexpression promotes cancer proliferation/invasion; suppresses tumor suppressors (MTF2) via m6Am; poor prognosis","none reported","regulates mRNA cap methylation status during differentiation; PDX1 inhibition relevant to pancreatic beta cell differentiation","Cap-specific m6Am RNA methyltransferase recruited by RNAPII CTD that promotes cancer progression by epigenetically modifying the mRNA transcriptome post-transcriptionally."
"Pcolce2","ECM protein","enhances BMP1-mediated procollagen C-propeptide cleavage; modulates extracellular matrix collagen processing; distinct from PCOLCE1 in some functions","Procollagen type I and II C-terminal propeptides; BMP1 (enhancer)","extracellular matrix","broad; bone, colon, cochlea, dupuytren tissue","fibroblasts, osteoblasts, supporting cells (cochlea), stromal cells","ECM remodeling; collagen maturation; BMP1 pathway; tumor microenvironment","not reported","unknown","no neural phenotype; cochlear supporting cell role (Pcolce2 in hair cell regeneration context)","Pcolce2 expressed in cochlear supporting cells; AAV-mediated overexpression promotes SC plasticity for hair cell regeneration","bladder cancer, colorectal cancer, SHPT (parathyroid)","potential tumor suppressor in CRC; prognostic biomarker in bladder cancer and CRC; ECM remodeling promotes metastasis in some contexts","none reported","modulates ECM during tissue differentiation; role in cochlear supporting cell plasticity","Extracellular glycoprotein that enhances BMP1 procollagen C-proteinase activity; expressed in cochlear supporting cells and modulates ECM during differentiation."
"Pcx","enzyme","carboxylates pyruvate to oxaloacetate using biotin and ATP; anaplerotic reaction replenishing TCA cycle intermediates","Pyruvate (substrate); CO2; ATP; biotin (cofactor)","mitochondrial matrix","liver, kidney, brain, adipose","hepatocytes, neurons, astrocytes, beta cells","Pyruvate carboxylation; TCA cycle anaplerosis; gluconeogenesis; lipogenesis; amino acid synthesis","PCX deficiency: severe lactic acidosis, hypoglycemia, neurological defects","severe (human pyruvate carboxylase deficiency)","severe neurological deficits in PCX-deficient humans; neurological impairment","no cerebellar-specific evidence","pancreatic cancer (indirect; metabolic context)","metabolic reprogramming; supports cancer cell biosynthesis via anaplerosis","pyruvate carboxylase deficiency (severe neurological and metabolic disorder)","supports biosynthetic demands during differentiation; anaplerosis","Mitochondrial biotin-dependent enzyme that carboxylates pyruvate to oxaloacetate for TCA cycle anaplerosis, gluconeogenesis, and lipogenesis; deficiency causes severe neurometabolic disease."
"Pdcl3","scaffold/adaptor","chaperone for VEGFR2 (KDR); inhibits KDR ubiquitination and degradation; inhibits CCT chaperonin-mediated actin folding; modulates apoptosis; stress chaperone","VEGFR2/KDR; CCT complex (inhibitory); actin (indirect)","cytoplasm","brain (glioma), endothelial cells, broad expression","endothelial cells, glioma cells, pericytes","VEGF-VEGFR2 angiogenesis; CCT-actin cytoskeleton; apoptosis; glioma microenvironment","not well characterized in vivo","unknown","expressed in glioma and brain vasculature; glioma-associated MSC differentiation to pericytes requires PDCL3","expressed in glioma; PDCL3 promotes glioma angiogenesis and pericyte differentiation from glioma-associated MSCs","glioma, hepatocellular carcinoma, colorectal cancer","oncogenic in glioma and liver cancer; promotes angiogenesis; poor prognosis marker; upregulated in multiple tumors","none reported","pericyte differentiation from mesenchymal stem cells in glioma context","Phosducin-like chaperone that stabilizes VEGFR2 by preventing its ubiquitination, thereby promoting angiogenesis; overexpressed in glioma and other cancers."
"Pddc1","other","Parkinson disease 7 (DJ-1)-like domain containing protein; putative oxidative stress sensor/chaperone; poorly characterized","unknown","cytoplasm (predicted)","ubiquitous (low expression data)","broad","oxidative stress response (predicted DJ-1 family)","not reported","unknown","linked to neurogenetic disorders via FERRY complex context","no cerebellar evidence","sarcoma (RAD51B-rearranged; listed in expression profiling)","not established","keratoconus (genetic overlap with psychiatric disorders); FERRY complex-related neurogenetic context","not established","Poorly characterized DJ-1-domain protein with presumed oxidative stress sensing role; very limited functional data available."
"Pde10a","enzyme","dual-substrate phosphodiesterase hydrolyzing both cAMP and cGMP; regulates cyclic nucleotide signaling in striatum; modulates PKA/PKG downstream pathways","cAMP; cGMP","cytoplasm / plasma membrane (striatal neurons)","brain (striatum highly enriched), heart, smooth muscle, colon","striatal neurons, cardiomyocytes, smooth muscle cells, cancer cells","cAMP/cGMP signaling; striatal dopamine signaling; PKA/PKG pathways; cardiac biology; tumor cell growth","hyperkinetic movement disorder (germline mutations in humans); striatal circuit dysregulation","moderate (human mutations)","hyperkinetic movement disorder; striatal circuit dysfunction; Huntington/Parkinson disease-relevant","enriched in striatum; no specific cerebellar evidence","colorectal cancer, various","oncogenic; PDE10A expression induced in tumors; PDE10A inhibition suppresses tumor cell growth by elevating cyclic nucleotides","PDE10A mutation-associated hyperkinetic movement disorder","regulates cAMP/cGMP balance during neuronal differentiation","Striatum-enriched dual-specificity phosphodiesterase that degrades both cAMP and cGMP to modulate basal ganglia circuitry; inhibition suppresses tumor growth and germline mutations cause hyperkinetic movement disorder."
